county_fips,total_population,adult_pop_45plus
17167,193491,87936
17169,6733,3520
17171,4710,2372
17173,20568,10392
17175,5218,2561
17177,43105,21770
17179,129541,59364
17181,16667,8270
17183,71652,32293
17185,10942,5234
17187,16185,7188
17189,13536,6731
17191,15761,7567
17193,13401,6605
17195,54498,26060
17197,700728,294310
17199,66706,30904
17201,280922,122675
17203,38285,17095
18001,36288,13711
18003,394545,153221
18005,84003,34368
18007,8729,3799
18009,11893,5729
18011,76120,30993
18013,15653,9051
18015,20525,9865
18017,37666,16961
18019,125467,53791
18021,26460,12007
18023,32730,13339
18025,10438,5343
18027,33656,12807
18029,51215,24316
18031,26399,11676
18033,44198,19008
18035,112321,45293
18037,43546,19646
18039,206409,80179
18041,23362,11082
18043,80809,35406
18045,16731,7871
18047,23096,11036
18049,20358,9439
18051,32904,14487
18053,66200,29043
18055,31196,14906
18057,371645,149266
18059,86166,37250
18061,40006,18746
18063,186387,75624
18065,48929,22779
18067,83831,37497
18069,36781,16551
18071,46460,19486
18073,33535,15328
18075,20032,8771
18077,33056,15354
18079,27622,12421
18081,167819,67612
18083,36070,15481
18085,80364,34713
18087,40907,14956
18089,500598,217411
18091,111706,50757
18093,45084,21454
18095,132504,58974
18097,968460,345437
18099,46352,20612
18101,9897,4698
18103,35402,15791
18105,139342,48450
18107,38573,17169
18109,73227,34089
18111,13960,6666
18113,47430,20533
18115,6004,3161
18117,19638,9276
18119,21532,10861
18121,16484,7601
18123,19209,8738
18125,12106,5810
18127,175335,78328
18129,25040,12103
18131,12385,5948
18133,37567,16127
18135,24216,11395
18137,29227,13093
18139,16847,7775
18141,272848,108879
18143,24657,11063
18145,45231,20832
18147,19910,9651
18149,23206,11012
18151,34917,17080
18153,20757,9449
18155,10019,4724
18157,188792,59032
18159,15256,7586
18161,6973,3397
18163,179810,76093
18165,15417,7258
18167,106153,42326
18169,30670,14709
18171,8518,4118
18173,65867,29642
18175,28205,13036
18177,66127,29833
18179,28555,12396
18181,24917,11711
18183,34742,15906
19001,7389,3535
19003,3544,1836
19005,14074,6745
19007,12119,6059
19009,5534,2851
19011,25796,12204
19013,130471,51074
19015,26590,12466
19017,25307,10848
19019,20691,9062
19021,20567,7963
19023,14172,6904
19025,9763,4588
19027,20522,9468
19029,13130,6345
19031,18302,8959
19033,42406,20863
19035,11605,5674
19037,11658,5650
19039,9588,4237
19041,16511,7732
19043,16969,8689
19045,46158,21581
19047,16013,6935
19049,111092,39839
19051,9169,3746
19053,7665,3220
19055,17600,8513
19057,38253,17804
19059,18056,9766
19061,98887,42652
19063,9229,4494
19065,19210,9234
19067,15326,7334
19069,9875,4644
19071,6458,3276
19073,8584,4236
19075,12384,5706
19077,10722,5480
19079,14729,6909
19081,10615,5183
19083,16463,8260
19085,14670,6953
19087,19547,9017
19089,9376,4258
19091,9500,4383
19093,6833,3145
19095,16381,7701
19097,19342,9548
19099,37919,17212
19101,15440,7872
19103,157528,52390
19105,20900,10112
19107,9914,4734
19109,14396,7146
19111,32565,15713
19113,228972,96872
19115,10513,5044
19117,8747,4184
19119,12324,5078
19121,16971,7617
