county_fips,state_abbr,county_name,cmr_facility_count,cct_facility_count,svi_percentile,svi_quartile,rucc_code,metro_indicator,total_population,adult_pop_45plus,rate_excluded,cmr_rate_per_100k,cct_rate_per_100k
18099,IN,Marshall,0,0,0.4493,2,6.0,0,46352,20612,0,0.0,0.0
31171,NE,Thomas,0,0,0.0019,1,9.0,0,677,338,1,,
38085,ND,Sioux,0,0,0.9176,4,9.0,0,3643,1168,0,0.0,0.0
48127,TX,Dimmit,0,0,0.9994,4,7.0,0,8257,3073,0,0.0,0.0
27045,MN,Fillmore,0,0,0.2004,1,3.0,1,21522,10076,0,0.0,0.0
45023,SC,Chester,0,0,0.7047,3,1.0,1,32226,14991,0,0.0,0.0
27073,MN,Lac qui Parle,0,0,0.0535,1,9.0,0,6630,3436,0,0.0,0.0
49005,UT,Cache,0,0,0.3478,2,3.0,1,142393,38015,0,0.0,0.0
55093,WI,Pierce,0,0,0.0216,1,1.0,1,43026,18045,0,0.0,0.0
13049,GA,Charlton,0,0,0.8855,4,8.0,0,12934,5242,0,0.0,0.0
13233,GA,Polk,0,0,0.8285,4,4.0,0,44223,17777,0,0.0,0.0
17113,IL,McLean,1,1,0.1903,1,3.0,1,170441,63364,0,1.578183195505334,1.578183195505334
23001,ME,Androscoggin,1,1,0.6007,3,3.0,1,113765,50764,0,1.9698999290836026,1.9698999290836026
16055,ID,Kootenai,2,1,0.2746,2,3.0,1,185010,83432,0,2.397161760475597,1.1985808802377984
32003,NV,Clark,2,18,0.8635,4,1.0,1,2336573,963685,0,0.20753669508189918,1.8678302557370925
20147,KS,Phillips,0,0,0.3137,2,9.0,0,4761,2375,0,0.0,0.0
31089,NE,Holt,0,0,0.1098,1,9.0,0,10093,4755,0,0.0,0.0
29101,MO,Johnson,0,1,0.3815,2,4.0,0,54962,18320,0,0.0,5.458515283842795
55063,WI,La Crosse,4,2,0.182,1,3.0,1,120486,49215,0,8.127603372955399,4.063801686477699
22021,LA,Caldwell,0,0,0.9052,4,8.0,0,9389,4097,0,0.0,0.0
21061,KY,Edmonson,0,0,0.3697,2,3.0,1,12448,6293,0,0.0,0.0
17005,IL,Bond,0,0,0.5253,3,1.0,1,16450,7208,0,0.0,0.0
17009,IL,Brown,0,0,0.4753,2,9.0,0,6294,2517,0,0.0,0.0
27085,MN,McLeod,0,1,0.1126,1,4.0,0,36785,17033,0,0.0,5.870956378794105
55033,WI,Dunn,0,0,0.188,1,6.0,0,45794,18264,0,0.0,0.0
08027,CO,Custer,0,0,0.1012,1,8.0,0,5534,3479,0,0.0,0.0
29123,MO,Madison,0,0,0.5097,3,9.0,0,12698,5883,0,0.0,0.0
48353,TX,Nolan,0,0,0.9815,4,6.0,0,14306,6110,0,0.0,0.0
42127,PA,Wayne,0,0,0.3952,2,6.0,0,51262,27826,0,0.0,0.0
36091,NY,Saratoga,0,0,0.0649,1,2.0,1,238711,115586,0,0.0,0.0
48041,TX,Brazos,0,0,0.804,4,2.0,1,244703,67693,0,0.0,0.0
40095,OK,Marshall,0,0,0.8769,4,9.0,0,15970,7613,0,0.0,0.0
24001,MD,Allegany,0,1,0.5552,3,4.0,0,67273,30918,0,0.0,3.234361860404942
54103,WV,Wetzel,0,0,0.3201,2,7.0,0,13890,6957,0,0.0,0.0
55053,WI,Jackson,0,0,0.5231,3,8.0,0,20855,9979,0,0.0,0.0
41007,OR,Clatsop,0,0,0.5813,3,4.0,0,41102,21118,0,0.0,0.0
53041,WA,Lewis,0,0,0.7028,3,4.0,0,86154,40157,0,0.0,0.0
36003,NY,Allegany,0,0,0.4543,2,7.0,0,46651,20633,0,0.0,0.0
19031,IA,Cedar,0,0,0.0089,1,8.0,0,18302,8959,0,0.0,0.0
18117,IN,Orange,0,0,0.5791,3,8.0,0,19638,9276,0,0.0,0.0
13089,GA,DeKalb,2,4,0.7903,4,1.0,1,762992,292107,0,0.6846806136107659,1.3693612272215319
13227,GA,Pickens,0,1,0.3392,2,1.0,1,35969,18536,0,0.0,5.394907207596029
30015,MT,Chouteau,0,0,0.2584,2,8.0,0,5847,2884,0,0.0,0.0
31017,NE,Brown,0,0,0.1444,1,9.0,0,2853,1430,0,0.0,0.0
47013,TN,Campbell,0,0,0.7143,3,2.0,1,40223,19445,0,0.0,0.0
37069,NC,Franklin,0,0,0.6491,3,1.0,1,77001,34686,0,0.0,0.0
24510,MD,Baltimore,4,2,0.8565,4,1.0,1,565239,215375,0,1.8572257690075449,0.9286128845037724
20111,KS,Lyon,0,0,0.7222,3,4.0,0,32172,11974,0,0.0,0.0
19027,IA,Carroll,0,0,0.0815,1,7.0,0,20522,9468,0,0.0,0.0
22107,LA,Tensas,0,0,0.8454,4,9.0,0,3764,2032,0,0.0,0.0
47123,TN,Monroe,0,0,0.7569,4,6.0,0,48594,24427,0,0.0,0.0
20075,KS,Hamilton,0,0,0.3398,2,9.0,0,2437,924,1,,
19151,IA,Pocahontas,0,0,0.1476,1,9.0,0,6976,3457,0,0.0,0.0
16045,ID,Gem,0,0,0.6153,3,2.0,1,21071,10280,0,0.0,0.0
05063,AR,Independence,0,0,0.8241,4,7.0,0,38320,16326,0,0.0,0.0
05085,AR,Lonoke,0,0,0.4063,2,2.0,1,75944,30347,0,0.0,0.0
18111,IN,Newton,0,0,0.3229,2,1.0,1,13960,6666,0,0.0,0.0
13119,GA,Franklin,0,0,0.8314,4,8.0,0,24782,10912,0,0.0,0.0
12051,FL,Hendry,0,0,0.9946,4,4.0,0,43333,16102,0,0.0,0.0
13265,GA,Taliaferro,0,0,0.692,3,8.0,0,1609,893,1,,
48245,TX,Jefferson,0,1,0.9723,4,2.0,1,251496,99029,0,0.0,1.0098052085752658
30059,MT,Meagher,0,0,0.0188,1,8.0,0,2071,1177,0,0.0,0.0
08067,CO,La Plata,0,1,0.258,2,6.0,0,56407,26969,0,0.0,3.707960992250362
48027,TX,Bell,0,0,0.937,4,2.0,1,393193,127460,0,0.0,0.0
28069,MS,Kemper,0,0,0.95,4,9.0,0,8584,3988,0,0.0,0.0
05019,AR,Clark,0,0,0.8339,4,7.0,0,21274,7935,0,0.0,0.0
